"Year","Team","HomeGame","HomeAttendance","RoadGame","RoadAttendance","TotalGame","TotalAttendance"
2019,"Philadelphia 76ers",41,838092,41,17895,82,19168
2019,"Chicago Bulls",41,823475,41,17822,82,18953
2019,"Dallas Mavericks",41,820569,41,18073,82,19043
2019,"Toronto Raptors",41,812822,41,18239,82,19032
2019,"Miami Heat",41,805264,41,18176,82,18908
2019,"Golden State Warriors",41,803246,41,18790,82,19193
2019,"Portland Trail Blazers",41,799345,41,17992,82,18753
2019,"Cleveland Cavaliers",41,793337,41,17632,82,18490
2019,"New York Knicks",41,779087,41,17566,82,18284
2019,"Los Angeles Lakers",41,778877,41,18682,82,18929
2019,"Boston Celtics",41,763584,41,18671,82,18647
2019,"Denver Nuggets",41,756457,41,17744,82,17962
2019,"San Antonio Spurs",41,750616,41,17381,82,17844
2019,"Utah Jazz",41,750546,41,17517,82,17911
2019,"Oklahoma City Thunder",41,746323,41,17866,82,18034
2019,"Houston Rockets",41,740392,41,17921,82,17989
2019,"Milwaukee Bucks",41,721692,41,18185,82,17893
2019,"Orlando Magic",41,720042,41,17659,82,17610
2019,"Washington Wizards",41,716996,41,17509,82,17498
2019,"LA Clippers",41,710327,41,17233,82,17279
2019,"Sacramento Kings",41,700975,41,17199,82,17148
2019,"Indiana Pacers",41,689310,41,17957,82,17377
2019,"Charlotte Hornets",41,676570,41,17648,82,17074
2019,"Detroit Pistons",41,675963,41,17819,82,17153
2019,"New Orleans Pelicans",41,656183,41,17667,82,16835
2019,"Atlanta Hawks",41,628440,41,17786,82,16557
2019,"Minnesota Timberwolves",41,627543,41,17641,82,16473
2019,"Phoenix Suns",41,627023,41,17982,82,16638
2019,"Brooklyn Nets",41,612597,41,18085,82,16513
2019,"Memphis Grizzlies",41,607564,41,17579,82,16604
2020,"Dallas Mavericks",38,682096,37,18249,75,19169
2020,"Philadelphia 76ers",35,639491,38,17706,73,19122
2020,"Chicago Bulls",34,639352,31,17767,65,18310
2020,"Toronto Raptors",36,633456,36,17789,72,18792
2020,"Denver Nuggets",37,633153,36,17163,73,18190
2020,"Miami Heat",36,629771,37,18127,73,18891
2020,"Cleveland Cavaliers",36,623576,29,18254,65,18014
2020,"New York Knicks",33,620789,33,17767,66,18289
2020,"Golden State Warriors",34,614176,31,17454,65,17773
2020,"Boston Celtics",36,610864,36,18409,72,18749
2020,"LA Clippers",36,610176,36,17855,72,18461
2020,"Portland Trail Blazers",36,608634,38,17941,74,18748
2020,"Oklahoma City Thunder",37,600699,35,17855,72,18034
2020,"Los Angeles Lakers",35,588907,36,18877,71,18936
2020,"Houston Rockets",36,578458,36,18072,72,18074
2020,"Utah Jazz",35,567486,37,17261,72,17767
2020,"Phoenix Suns",39,550633,34,17660,73,16622
2020,"San Antonio Spurs",35,550515,37,17588,72,17951
2020,"Milwaukee Bucks",35,549036,38,17982,73,17805
2020,"Atlanta Hawks",34,545453,36,17786,67,16901
2020,"Washington Wizards",36,532702,36,17587,72,17117
2020,"Orlando Magic",35,529870,36,17243,71,17171
2020,"Indiana Pacers",36,529000,37,17297,73,16914
2020,"New Orleans Pelicans",36,528172,36,18384,72,16539
2020,"Brooklyn Nets",36,524907,36,17910,72,17157
2020,"Memphis Grizzlies",37,523297,36,17508,73,16670
2020,"Sacramento Kings",35,520663,37,17739,72,17282
2020,"Detroit Pistons",33,509463,33,17641,66,16539
2020,"Minnesota Timberwolves",32,482112,32,17463,64,16264
2020,"Charlotte Hornets",31,478591,34,17564,65,16550
2021,"Utah Jazz",36,151300,36,3104,72,4077
2021,"Orlando Magic",36,130712,36,2954,72,3405
2021,"Dallas Mavericks",36,94849,36,2316,72,3140
2021,"New Orleans Pelicans",36,93120,36,2793,72,2662
2021,"Charlotte Hornets",36,68255,36,2475,72,2981
2021,"Philadelphia 76ers",36,68583,36,2693,72,3284
2021,"Memphis Grizzlies",36,61449,36,2928,72,2500
2021,"San Antonio Spurs",36,61053,36,3170,72,3111
2021,"Atlanta Hawks",36,59288,36,2786,72,2397
2021,"Denver Nuggets",36,54534,36,2481,72,3023
2021,"New York Knicks",36,42131,36,2803,72,2244
2021,"Golden State Warriors",36,33457,36,2873,72,2939
2021,"Brooklyn Nets",36,30491,36,3005,72,2182
2021,"Boston Celtics",36,30067,36,2781,72,2607
2021,"Toronto Raptors",36,26024,36,2046,72,2152
2021,"Los Angeles Lakers",36,23313,36,3015,72,2762
2021,"Washington Wizards",36,21331,36,2678,72,2675
2021,"Minnesota Timberwolves",36,15774,36,2307,72,1937
2021,"Detroit Pistons",36,14250,36,2946,72,1579
2021,"LA Clippers",36,13901,36,2932,72,2590
2021,"Chicago Bulls",36,13655,36,2343,72,2538
2021,"Portland Trail Blazers",36,7756,36,3420,72,3138
2022,"Chicago Bulls",41,856148,41,18198,82,19556
2022,"Philadelphia 76ers",41,846867,41,16589,82,18622
2022,"Dallas Mavericks",41,809315,41,17092,82,18415
2022,"Miami Heat",41,804761,41,17294,82,18476
2022,"Boston Celtics",41,766240,41,17583,82,18360
2022,"Los Angeles Lakers",41,764631,41,18179,82,18414
2022,"New York Knicks",41,763484,41,17722,82,18177
2022,"Cleveland Cavaliers",41,758228,41,17134,82,17813
2022,"Utah Jazz",41,750546,41,16988,82,17610
2022,"Golden State Warriors",41,740624,41,18111,82,18087
2022,"Milwaukee Bucks",41,738011,41,17456,82,17555
2022,"Brooklyn Nets",41,711539,41,17465,82,17005
2022,"Portland Trail Blazers",41,705608,41,16559,82,16888
2022,"Charlotte Hornets",41,700755,41,17503,82,17294
2022,"Denver Nuggets",41,695262,41,16864,82,16911
2022,"LA Clippers",41,694005,41,16910,82,16918
2022,"Phoenix Suns",41,679252,41,17043,82,16979
2022,"Atlanta Hawks",41,672742,41,17073,82,16736
2022,"Detroit Pistons",41,663566,41,16752,82,16468
2022,"Minnesota Timberwolves",41,617148,41,16174,82,16149
2022,"Memphis Grizzlies",41,646785,41,17740,82,16757
2022,"Houston Rockets",41,638977,41,16655,82,16230
2022,"Washington Wizards",41,637215,41,16393,82,16231
2022,"New Orleans Pelicans",41,635941,41,16727,82,16103
2022,"Orlando Magic",41,622881,41,17062,82,16127
2022,"San Antonio Spurs",41,615586,41,16939,82,15965
2022,"Oklahoma City Thunder",41,595112,41,16638,82,15768
2022,"Indiana Pacers",41,588743,41,16794,82,15577
2022,"Sacramento Kings",41,577583,41,16598,82,15532
2022,"Toronto Raptors",41,547343,41,17233,82,17193
2023,"Chicago Bulls",41,841632,41,18243,82,19385
2023,"Philadelphia 76ers",41,839261,41,17910,82,19190
2023,"Dallas Mavericks",41,827282,41,18138,82,19158
2023,"Toronto Raptors",41,811261,41,17755,82,18771
2023,"Miami Heat",41,807190,41,18369,82,19028
2023,"New York Knicks",41,795110,41,18467,82,18930
2023,"Denver Nuggets",41,788635,41,17628,82,18431
2023,"Cleveland Cavaliers",41,777280,41,18093,82,18754
2023,"Portland Trail Blazers",41,767374,41,17786,82,18257
2023,"Boston Celtics",41,766240,41,18830,82,18991
2023,"Los Angeles Lakers",41,763168,41,18777,82,18695
2023,"Detroit Pistons",41,759715,41,17866,82,18197
2023,"Golden State Warriors",41,740624,41,19772,82,18907
2023,"Orlando Magic",41,728405,41,18013,82,17888
2023,"Utah Jazz",41,728240,41,17881,82,18041
2023,"Brooklyn Nets",41,724439,41,18312,82,17990
2023,"LA Clippers",41,720543,41,17625,82,17599
2023,"Atlanta Hawks",41,719787,41,18053,82,17804
2023,"Milwaukee Bucks",41,718786,41,18296,82,17913
2023,"Sacramento Kings",41,715491,41,17534,82,17492
2023,"Washington Wizards",41,710481,41,17753,82,17541
2023,"Memphis Grizzlies",41,707336,41,18162,82,17713
2023,"Charlotte Hornets",41,702052,41,18302,82,17578
2023,"San Antonio Spurs",41,694434,41,17649,82,17293
2023,"New Orleans Pelicans",41,687691,41,18021,82,17397
2023,"Minnesota Timberwolves",41,687510,41,17499,82,17330
2023,"Phoenix Suns",41,682840,41,18294,82,17690
2023,"Houston Rockets",41,648565,41,17677,82,16595
2023,"Indiana Pacers",41,641562,41,17900,82,16774
2023,"Oklahoma City Thunder",41,636903,41,17948,82,16286
